"Register","Text","Left","-5;5","Right"
"s","S-BEABXw-0396-1190","Şimdi internetten bakmışım, bana yurt","çıkmış.","Orda şey yazıyo, Mersin yurdu"
"s","S-ADABAo-0307-1176","şimdi dünyada 2 sektör öne","çıktı","dedik. Bankacılık sektörü ve sigorta"
"s","S-BEABXw-0353-1576","Şimdi de çıkamıyoruz. Ölesiyadar da","çıkacağımız","kesin diil yani. Ee! zaten"
"s","S-BEABXs-0130-1271","şimdi bide onikinciye bi program","çıkmasın?","<B> Çıkmaz seçim zamanı seçim"
"s","S-AAAAFZ-0383-843","Şimdi bakın mesela ne ortaya","çıktı","son on yılda. Bitkilerde özellikle"
"s","S-ADABPZ-0374-86","Şimdi bakın aslında Taliban'ı ortaya","çıkaran","Amerikalılar, çünkü Rusyadaki Rus Rusların"
"s","S-BEABXs-0130-777","şimdi bak koskaca Atatürk sahneye","çıkmış","Atatürk Gökhan oynuyor, Atatürk'ü şöyle"
"w","W-KE05A2A-2053-749","şikayetinde dayanak olabilecek haklar ortaya","çıkarılmış","olur. Buna göre, AY Md."
"w","W-EG03C2A-1729-1905","şiirsel özne ve nesnede ortaya","çıkan","devrimler, biçim bağlamında, sembolizmle gerçekleşti"
"w","W-QG03A1B-3267-2216","şiddete yöneltebilir. Sıcak renkler sayfadan","çıkıyormuş","izlenimi verirler ve daha önde"
"w","W-UE39C3A-0904-1019","şiddet, baskı ve zulme karşı","çıkan","HEP'in kazandığı güç, bu açıdan"
"s","S-BEABXB-0003-562","şeyler vardı ya bizim okulda","çıkan","amca grubu. Onlar oraya mı"
"s","S-AEAB^o-0018-1861","şeyler değildir bunlar. Aynı kişi","çıkıp","televizyonlara ben şeriatçıyım şeriatçıyım diye"
"w","W-RE13C3A-1379-876","şeyler anlatan herkesi, ""yaa"" nidasını","çıkartarak,","hayret ve şaşkınlık içinde dinlerdi."
"s","S-ADBBAo-0443-633","şeyim İzleyenler yanlış anlamasın. Tıpkı","çıktığımız","kız arkadaşlar gibi. Ben gerçi"
"s","S-BEABXu-0435-1563","şeyi çıkmış mıydı? Neyi? Papazı","çıkmadı","mı? Küçük at! Küçük atamam"
"s","S-BEABXO-0080-561","Şeyi çok seviyom Uçan Hollandalı'nın","çıktığı","şey vardı ya ilk kalbin"
"s","S-AEABTZ-0040-2467","şeyi yapıyorlar, böyle bir tablo","çıkıyor.","İşte linyitler, termik santraller, bunların"
"s","S-BEABXw-0403-2439","şeyi ne biliyo musun? Bizle","çıkcaksın","dışarı. Gir mesela bi dükkana"
"w","W-RD36E1B-2842-924","şeye rağmen, burada gün yüzüne","çıkan","kalıntılar ve bunların geri kalanı,"
"w","W-GE39E1B-2892-357","şeydir. Sözü edilen sınırların açığa","çıkarılması,","siyasal etkinliğin bir parçasıdır. Dolayısıyla,"
"s","S-BEABXO-0064-2061","şeyden yola? Emm... 9 gibi","çıktık","işte 10 gibi 10 10"
"s","S-BEABXO-0444-2443","şey. Ya şunu çıkartsana. Çıkartmıcam.","Çıkart!","Kopuyomuş bu da. Bana masaj"
"w","W-OG37C0A-0191-4","şey. Sabaha karşı fırından ilk","çıkan","sıcak ekmekleri almak gibi bir"
"s","S-ADBBI^-0042-2278","şey. Bütün dostlarım bana sahip","çıktı,","hiçbiri hakkında yanılmamışım. Bütün dostlarım,"
"w","W-XI45E1C-5070-2343","şey. Bu kış mottonuz ""Trençkotsuz","çıkmam","abi!"" olmalı. Tabii bir de"
"s","S-BEABXs-0130-1302","şey çıkmazda vermişler gastelerde felan","çıkmış","Çukurova şey Selçuk Üniversitesi. Bi"
"s","S-BEABXu-0435-1848","şey çıkmadı hiç bi şey","çıkmadı","bi kere ya bu ne"
"w","W-UC03A3A-1469-1006","şey yapamıyorum, evde sürekli kavga","çıkıyor.""","Aysel Hanım ise şunu söylemişti"
"s","S-BEABXO-0064-496","Şey yapalım. Şimdi biz de","çıkmayı","düşünüyoduk zaten. Sen gittin mi"
"w","W-FI39C3A-2958-72","şey olmadığı anlaşıldı. Şahitler mahkemeden","çıkarıldı.","Dosyadaki yazılı delillerin okunmasına geçildi."
"s","S-BEABXw-0398-1214","şey olmadı yani. İğneyi batırdı","çıkarttı.","Hatta daha kan duruyo daha,"
"s","S-BEABXw-0403-962","Şey oldum işte. Önce sesimi","çıkarmadım.","Hatta benle konuşmasın diye kulaklığı"
"s","S-BEABXO-0120-1251","şey kavşağı var ya terminalden","çıkınca","direk Halkkent'e çıkıyorsun. Şeyden görümcemlen"
"w","W-JA16B3A-0774-307","şey içiyordu. Çantasından buruşuk mendilini","çıkararak","ağzını sildi. Garsonun bira bardağıyla"
"s","S-BEABXO-0343-1499","şey benzemiş heralde Mustafa. Yok","çıkartamıyorum","ki. Haa. <B> Ondan sonra"
"w","W-TE39C4A-0265-1680","şey başörtüsü değil, Cezayir'de karşı","çıkılan","şey camilerde namaz kılan Müslümanlar"
"w","W-RA16B0A-0151-170","şeritten İri lağım fareleri kanalizasyonlardan","çıkarak","ölüyorlarmış. Bilinmeyen bir nedenle sokaklarınızı"
"w","W-KB04A3A-1575-2228","şekilsel ve fonksiyonel olarak ortaya","çıkan,","kalıtsal olan bu çok ileri"
"s","S-ADABPZ-0119-1468","şekilde topraktan ağaç çıkıyor. Bitki","çıkıyor.","Bilmem ne çıkıyor. Ve insanoğlu"
"s","S-BEABXw-0395-1986","şekilde ben, yani o başkasıyla","çıkıyor","diye de bi kıskançlık falan"
"w","W-OG24D1B-2300-1278","şekerli pop-rock baladlar. 1986'da yola","çıktıkları","""Please""den ""Please""den 1999'daki ""Nightlife""a ""Nightlife""a"
"w","W-TE36E1B-3295-433","şekerim. Dur daha bitmedi! Oradan","çıkıp","Songül Çavuşoğlu'nun sürpriz doğumgünü partisine"
"s","S-ADAB^o-0200-2138","şeker toplamak için bayramda emm","çıkan","çocuklar. Emm şimdi tabi emm"
"s","S-BEABXn-0350-1633","şehitlerde bi tane zengin çocuğu","çıkıyo","mu? Bi tane villadan biri"
"w","W-VE39C2A-2700-1303","şehirleşme süreci başlangıçta gecekondularla ortaya","çıktı.","Bunlar kırsal yoksulların kentteki görüntüleridir."
"w","W-TI22C3A-1184-790","şaşırıp gülüyoruz. Beş milyonu da","çıkarıp","gösteriyor. Sen ayaklı bankasın diyoruz,"
"w","W-OG24D1B-2300-2245","şaşırtıcı bir uyum yetisiyle karşımıza","çıkıyor.","Buna göre Timur rolünde Tevfik"
"w","W-QA16B1A-1731-1318","şaşırdım. ""Eyvah, şimdi ağzımdan söz","çıkamaz","olacak! Kasılıp kalacağım ya da"
"w","W-MA16B4A-0588-1712","Şaşırdı. Tıraş oldu. Giyindi. Erken","çıkması","ve beklenen görüşmeyi mutlaka vaktinde"
"w","W-RI37C1A-0848-720","şaşkınlığını attıktan sonra arabanın içinden","çıkmaya","karar verdi. Arabanın farlarından biri"
"w","W-OI31D1B-2350-1643","Şaş'ı iyi bir teklifle elinden","çıkartabileceği","yönünde. Felipe'nin pasları gol kokuyor"
"w","W-PA16B4A-0162-909","şapka vardı. Gözleri sanki yerlerinden","çıkmış","gibiydi. Ağzı, burnu olması gerekenden"
"s","S-AEABTZ-0040-1054","şansınız var mı? Bunu açığa","çıkaralım.","Biz insanların canların vücutlarına giren,"
"s","S-ADAB]o-0193-2416","şampiyonlar liginde bence ikinci tura","çıkılması","imkansız. Bu maçı kesinlikle kazanması"
"s","S-ADABDp-0187-1297","şakı da görelim. Of! yukarı","çık","da çarşafları değiştir, camları sil."
"w","W-HG22C3A-0029-227","şakalarına, yerli yersiz kikirdeşmelerine karşı","çıktığımı","anımsayacaklar. Yine de, radyoda ya"
"s","S-ADABPZ-0372-925","Şahan bu fakülteyi üst düzeye","çıkarmasını","bildiler. Çıkartırken tabi onlar sadece"
"s","S-ACABQq-0423-517","Üçüncü Annan Planına göre, şimdi","çıkmıştır.","AB Komisyonu, birincil ve ikincil"
"s","S-BEABXO-0147-1248","üçü, gidip yüzkırktan da dördü","çıkarsak","hani yine eşitlemiş olmuyo muyuz?"
"w","W-DA16B3A-1040-1519","Üçler""? ""36'lar""dan ""36'lar""dan çıktık biz...","Çıkma","işlemi yaptığımız için; başımızda eksi"
"s","S-BEABXO-0147-746","üç yazmışsınız, tamam. Burası kaç","çıktı","nası yaptınız onu? On iki,"
"w","W-UI45F1D-4773-2051","üç tuştan nasıl bütün sesleri","çıkartabiliyorsunuz?""","diye sordum. ""Dudağımızı gererek ve"
"w","W-KD39C3A-0386-890","üç soru soruldu. Sonuçlar şöyle","çıktı.","1) Türkiye, kendi güvenliğini sağlamak"
"s","S-BEABXO-0147-2447","üç sonra beş okekleri kaç","çıkıyo?","Otuz. Otuz, o zaman bu"
"s","S-BEABXX-0411-2256","üç oda bi salon eve","çıkacak","yani ama masrafı biraz şey"
"s","S-BEABXO-0147-2383","üç kere bir üç bir","çıkıyo,","iki bölü üç... Hı-hı. Onu"
"w","W-TE09C2A-1267-1895","üç cihaz ve bazı parçalar","çıkarır,","ardından Levon'un karşılaştığı her Rus"
"w","W-TG09C2A-1174-1720","üzülmen yersiz. Bak, sonuçlar temiz","çıkmış.","Bence Tanju Amca bu kış"
"w","W-MG24D1B-2298-1769","üzerine. Ne derece onun içinden","çıkabildiğimiz","ise belirsiz."" Oyunun dekoru ve"
"s","S-ADABAo-0033-1058","üzerine Zülcenah'ın üzerine üzenginin üzerine","çıkıyor.","Orda diyor ki ""Ey Nas,"
"w","W-KD02A1B-4470-1065","üzerine olan Marksist açıklamaların gözden","çıkarılma","çabaları; bunun kuramsal zeminini oluşturan"
"w","W-QF25D1B-2769-255","üzerine kayıtlı 383 gayrimenkulü satışa","çıkaracak.","Satışa çıkarılacak gayrimenkuller arasında dün"
"w","W-SG03A1B-3273-1189","üzerine iç tarafından bir merdivenle","çıkılmaktadır.","Bundan sonra aynı malzeme ve"
"s","S-AAABXN-0004-2335","üzerine iki kat ev daha","çıktı.","Yukarıya mı taşınacak? Yukarıya taşınıcak"
"w","W-SI22C2A-0449-1784","üzerine bıraktı ve üzerindeki giysileri","çıkarttı.","Sonra da bana, ""Hangisini istiyorsan"
"w","W-TD09C4A-0211-2445","Üzerine bizim tarafımızdan bir yerden","çıkılıyor.","İki yere de Irak tarafından"
"w","W-KH13C4A-1481-2307","üzerine birisi veya bizzat kocasını","çıkarıp","çiğnetmek suretiyle öldürmek. Tekmenin tesirinden"
"w","W-OI37E1B-3058-1307","üzerinden değişmeli ve yaşamın açığa","çıkmasına","izin vermeliyiz. Bara gidiyor olmamızı"
"w","W-ND39C4A-1760-1448","üzerindeki sözlerinden başlayarak. Dinliyor, sesini","çıkarmıyor.","Önündeki kâğıtlarla oynuyor. Bozuk bir"
"w","W-KB04A3A-1575-1342","üzerinde çok sayıda, braktelerin koltuğundan","çıkan","saplı çiçekler taşımaktadır. Tipik olarak"
"w","W-SE36E1B-3352-2274","üzerinde düzeltmeler yapılır ve satışa","çıkacak","tasarımlar belirlenir. ""Pöti""nin ""Pöti""nin ıstırabı"
"s","S-ADABPZ-0134-1242","üzerinde ayrıca durma gereği ortaya","çıkıyor.","Çünkü özellikle günümüzde kimlik sorunu"
"w","W-MD39C4A-1080-1204","üzere... Dışarı Çıktıktan Sonra Cezaevinden","çıktığımın","ertesi günü sabaha karşı düzenlenen"
"w","W-NE39C4A-0081-50","üzere Makedonya elimizden tek tek","çıkıyordu.","Ya Selanik? Bir tek tabanca"
"w","W-UC29D1B-2445-2415","üzere birkaç ay içinde ortaya","çıkacak","hareket edebilecek hale gelecek. Bu"
"s","S-ACABQq-0422-2054","üyeliğimizin yoluna bir engel olarak","çıkarılması","ve Türk-Yunan gerginliklerinin sonucu olan"
"w","W-VD02A4A-2691-1068","üyeler zaten Erzurum'a doğru yola","çıkmışlardır.","O vakte kadar diğer vilayetlerimizin"
"w","W-OE39C3A-1415-1312","ütopya olduğu gibi bir mana","çıktığını","ve bunun yerine, mesela ""Abant'ta"
"w","W-TA16B4A-0500-1384","üstünü örtüp sessizce çekip kapını","çıkmak","olurdu, en fazla. Yalnız kalmak"
"w","W-CA16B2A-1308-928","üstüne... Uzun don giymiş kadınlar","çıkıyordu","kapı önlerine. Kapı aralığından da"
"w","W-QI13C2A-1530-1011","üstüne, Kanal D'ye Zülfü Bey'le","çıkmıştı","mesela Ana Haber'e. Kitapla ilgili"
"w","W-EA16B1A-0096-2446","üstüne çöken katı geceyi Atabilirse","çıkacak","sabaha Nereden bulurlar bu kadar"
"w","W-QA16B2A-0626-543","üstündeki bu kömür karası lekeyi","çıkarayım.","Anladım usta, senin gibi duyarlı"
"w","W-HA16B2A-0717-2255","üstlerini de yanına aldı. Avludan","çıkmadan","Semra ablasına uğradı. Gecede gelmeyeceğini"
"w","W-ID03A1A-1517-551","üstesinden gelecek olan bireyin ortaya","çıkmış","olduğu bir karışık renge değinmeyle"
"w","W-SE09C3A-1518-131","üst makamlar derken Çankaya'ya kadar","çıktı.","Muammer Bey ve aile sonunda"
"s","S-ADABAo-0310-1431","ürünün ömrünü 1 aya kadar","çıkartmayı","hedefliyoruz ki bunu da inşallah"
"s","S-ACABTZ-0336-610","üretimi olsun bir atık ortaya","çıktığında","o atıkların bertarafı emm depolanılması"
"s","S-ACABTZ-0336-1040","üretim süreçlerinde daha fazla atığın","çıkmasını","atıkların çeşitlendirilmesini ve miktar olarak"
"w","W-KE05A4A-1448-2170","Üretim hacminde zamanla muhtemelen ortaya","çıkacak","azalmayı ham petrol fiyatlarındaki yükselme"
"w","W-TG03A1B-3282-1357","üretilen optik yanılsamaların tekrarının dışına","çıkılarak,","renk seçenekleri, gri skala ve"
"s","S-ADABPZ-0134-1587","üretilen kavramlardan biri olarak karşımıza","çıkıyor,","kavram felsefi düzeyde evrenselcilik-tekilcilik veya"
"w","W-TE05A1B-4240-608","üretici güçlerin belli aşamasında ortaya","çıkan","sivil toplum, devletin ve toplumun"
"s","S-ACABTZ-0336-2082","üret enerji ve bunların ortaya","çıkardığı","karbondioksit miktarı. Hepsinin karbondioksit miktarı"
"w","W-FD36C0A-0198-998","ünlenen firma, bir anda ortaya","çıkan","zenginliğiyle kamuoyunun dikkatlerini üzerinde topladı."
"w","W-CD39C3A-0388-499","üniversite temizlenmiştir, bundan bu sonuç","çıkmaktadır,","bundan sonra da sadece Atatürk'ün"
"s","S-ADAB^Z-0370-1778","üniversite bilim yeridir. Üniversiteden dışarı","çıkmaları","gerekiyor yani kapalı bir kutuda"
"w","W-MA16B3A-0457-2218","ünitesine kışkışlanacağını öğrenince, kendisine sahip","çıkması","için yalvardığı bir Birim Yöneticisine,"
"w","W-SI22C2A-0760-1783","Ünal ailesine göre dedenin rüyası","çıkmıştır.","Bebeğin yanağındaki ben ise sadece"
"s","S-ADABCo-0229-686","ülkemizin her tarafı cephanelik olmuş.","Çıkanlar","sadece silahlar mı? Devletin örtülü"
"s","S-ACABPA-0434-324","Ülkemizin bugün içinde bulunduğu krizden","çıkmasının","yollarının arandığı ve bunun maalesef"
"w","W-PC05A1A-1790-308","ülkemizde sorunlu ve tartışılır olmaktan","çıkmamıştır.","Kavramın tanımını çok daha açık"
"s","S-ACAAFZ-0048-937","ülkelerine girenlerin iç çamaşırlarını bile","çıkarttırıyorlar.","Sonra da bize diyorlar ki;"
"w","W-PF10E1B-2867-1891","ülkelerin borsalarında net olarak ortaya","çıkıyor.","Örneğin, ABD hisse senedi piyasasında"
"s","S-ACABQq-0421-1025","ülkeleri tarafından istenmesi karşısında, karşı","çıkarak","şu sözleri söylemiştir ""Artık, onları"
"w","W-GE39E1B-2892-2439","ülkede kaynak paylaşım sorununu öne","çıkarmaları","her birisinin değişik yönde konformist"
"w","W-PD05A2A-3342-2402","ülkede gazetecilerin etik davranış dışına","çıkmalarına","üç biçimde yol açmaktadır. İlk"
"s","S-ACABQq-0425-1965","ücretli çalışanın ücretlerine yansımakta, ortaya","çıkan","tablo ne üreteni ne çalışanı"
"w","W-MD39E1B-3359-1834","öğretmenlerin %9.2'si ""Öğrenci isterse, dışarı","çıkmasına","izin vermelidir"" şeklinde cevap vermişlerdir."
"w","W-UA16B3A-0716-1108","öğretmeni görecem"" dedi masasından kenara","çıkan","kız, ""Sen bekle ben kendisine"
"w","W-UA16B3A-0716-1233","öğretmen, onlar aşağı inerken, yukarı","çıktı.","Alt kat yemekhaneydi. Sırayla dizili"
"w","W-GD02A3A-1059-293","öğretiminin yapıldığı ABD'de öğretim amacıyla","çıkarılan","gazetecilik kitaplarında, ilk yapılan tanımların"
"w","W-TE37E1B-2905-349","öğrencime ve onun geleceğine sahip","çıkıyorum""","içerikli bir seslenmeyi temel almalıdır."
"s","S-ADAB^Z-0370-895","öğrenci kalitesinden ya da ortaya","çıkacak","ürün kalitesinden nasıl bahsedebiliriz? Teşekkür"
"w","W-DG03A1B-3179-1362","özlemin bir aracı olarak ortaya","çıkmaktadır.","Örneğin, Üç Kızkardeş'te Prozotov kızkardeşlerin"
"w","W-EE05A3A-2686-2010","özgürlüklerle doğrudan ilgili olduğu ortaya","çıkıyor.","Anayasanın vergi ödevine ilişkin 73/4"
"s","S-BEABXl-0008-2150","Özgür arka koltukta uyurken mi","çıkacaktık.","Tamam uyusun. Arka koltukta uyuyor."
"s","S-ADAB^o-0240-2259","Özgü Namal Özgü Hanım bunu","çıkartıyosa","ki bence çıkartıyo ve seyircilerimiz"
"w","W-ND02A2A-0373-2350","özerkleşen bir figür olarak ortaya","çıktı.","Bu arada dışarıdan bir para"
"w","W-SE39C2A-1077-386","Özenle paketlenmiş kutuların açılmasına başlandı.","Çıkanlar,","ortaya gösterilip tanımlandıktan ve kaydedildikten"
"w","W-OD02A1B-4540-299","özellikleri kaynakların değerlendirilmesinde ön plana","çıkmaktadır.","Nitekim, www kaynaklarını değerlendirme ölçütlerinden"
"w","W-EC06A1B-3559-2334","özelliklen şunlardır Demetleme yapıldığından bölmeden","çıkarma","zararları azalır. Çünkü bir demet"
"s","S-ADBBAo-0443-1382","özellikle. Evet ilk zamanlarda programa","çıkmamamız","için engeller koyuyorlardı. Ellerinden geleni"
"w","W-VI19E1A-4055-1651","özellikle varlığına, hakkına, birliğine karşı","çıkan","yabancı varlıklarla mücadele gereğini ve"
"s","S-ADABPZ-0134-338","özellikle etnik kimliklerin, öne çıktığına,","çıkarıldığına,","bu öne çıkarılışlığın teşvik edildiğine"
"s","S-ACABQq-0421-2159","özel yasaları, zorla, baskıyla bize","çıkarttırarak","(işte, Şeker Yasası, Tütün Yasası"
"w","W-ID39C3A-0426-647","özel televizyon gerçek olayları açığa","çıkarınca","insanların uyanmasından nasıl da korkuya"
"w","W-OF05A2A-1349-1939","özel idarelerine bırakılmıştır. 1984 yılında","çıkarılan","3004 sayılı yasa 2380 sayılı"
"w","W-SI19E1A-4039-1055","öyleyse. Dede Bunu da nereden","çıkardın","Murat? Murat Öyle ya dedeciğim."
"w","W-VI19E1A-3989-1074","Öyleyse ben bir günlüğüne tatile","çıkıyorum.","Dediği gibi de yapmış. Bir"
"w","W-DA16B2A-0888-1269","öylesine ağlıyordu ki, insan içine","çıkacak","gücü yoktu. Kadın olduğu için"
"s","S-BEABXO-0345-2073","öyle. Şurdan ortadan bi ok","çıkarsam","şuraya yazsak? Zaten ağbi burda"
"s","S-BEABXJ-0076-2011","öyle şey yaparız çıkarız. Hızman","çıkmış.","Aa yeni hızma alalım mı?"
"s","S-ACABPA-0434-253","Öyle yasalar çıkıyor ki TBMM'den","çıktığı","günde bunun hataları görülüyor. Öyle"
"s","S-ADAB^o-0240-66","Öyle oluyo genelde burdan belki","çıkan","bi isim belki de sonra"
"w","W-NE39C2A-0611-661","Öyle mi? Emniyet Müdürü Tamamen","çıkmama","diye bir şey olmaz, çıkabilir."
"s","S-BEABXg-0072-1056","Öyle mi? Bende de göbek","çıktı","yaa. Alkol falan da almıyorum"
"s","S-ADABCo-0176-806","öyle kimse yok. Çıkmaz mı","çıkıyor.","O klasik kaide gereğince ""Nush"
"s","S-BEABXO-0143-2347","Öyle işdee... Refiye teyze kapıdan","çıkıyo;","eyvah ayağım elim titremeye baslıyo."
"s","S-BEABXO-0071-2413","Öyle deyip dedim işin içinden","çıkışıyon","dedim. Allah Allah bu ne"
"s","S-BEABXn-0350-182","öyle bişe yapsa, adam pompalıyı","çıkarır","iki tane vurur. Fazla değil"
"s","S-ADABAo-0366-936","öyle alıyor. Bunun da öne","çıkması","gerekebilir diye tartıştım. Bilmiyorum Osmanlı'da"
"w","W-IE39E1B-2894-1222","övündüğü kadro ve yandaşlarını evden","çıkartmak","için hiç çaba göstermemiştir. Bu"
"s","S-BEABXO-0444-1177","ötcek doğru kelime. Alarm batarya","çıktığı","için ötmedi. O yüzden... Tamam"
"s","S-ACABTZ-0336-743","örtüyorlar. Çünkü sadece radon gazı","çıkmıyor.","Radon gazı radyoaktif bir madde."
"s","S-BEABXO-0380-94","öreyim unun. Anne getirdin ama","çıkarabilcez","mi? Ver bi sandalye de."
"s","S-BEABXO-0378-1108","ördüm işte öbürünü de. Ojen","çıkmadı.","Angi oje ya? Ani bi"
"s","S-AEABTZ-0040-151","önüne ben bükler santral diye","çıkacağım","diyorsanız, referandum kültürü yok sizde,"
"w","W-LF25D1B-2140-1242","önünde görüş ayrılıkları nedeniyle ortaya","çıkan","tıkanıklığı aşmak amacıyla AB'nin girişimi"
"s","S-BEABXO-0455-1022","Önün çok hayırlı. Allah'ın izniyle","çıktığın","zaman, okulu bitirdiğin zaman yerin"
"w","W-SA16B1A-0309-188","önemsiz olduğunu kanıtlayabilir ve ben","çıkabilirim","buradan."" ""Kanıtlayamadı mı?"" ""Acele etti."""
"w","W-MH03A2A-2027-2173","önemliydi. Bu törenlerde, tanrılar tapınaklarından","çıkartılır,","şölen için hazırlanan döşeklere (pulvinar)"
"s","S-ADAB]o-0193-114","önemli. Çok önemli. Maçta öne","çıkan","bir başka oyuncu da Sabriydi."
"w","W-QF10A1A-1883-2076","önemli ölçüde kriz sırasında ortaya","çıkan","atıl kapasitelerin kullanmasıyla gerçekleşmiştir. Atıl"
"s","S-ACABQq-0422-2242","önemli hususlardan biri olarak karşımıza","çıkma","ihtimali mevcuttur. Türkiye'de AB üyeliğine"
"s","S-ACAAQq-0419-1428","önemli gelişmeler sağlanmıştır. Bu bağlamda","çıkarılan","bir yasayla, 150 000'i öğretmen"
"s","S-ADABPZ-0112-530","önemli fonksiyonu demek ki bebeğin","çıkardığı","anlamsız sesleri çok yakından takip"
"w","W-FG43A2A-2012-1421","önemli bir kriter olarak karşımıza","çıkıyor.","Ve tabii bugünün mimarlığı artık"
"s","S-ACABQq-0422-2115","önemi daha net biçimde ortaya","çıkmaktadır.","Bu arada, her ne kadar"
"w","W-GE39C2A-1062-1613","önemi belirlenir"", ""gerektiği zaman yeniden","çıkarılır"",","artık ""tanınır"" ve ""bilinir"". İşte"
"w","W-CE04A1B-3397-1578","önem gösterilmektedir. Kaynaklarının hepsinden sıcaksu","çıkan","Ilıca'da (Gediz) içme suyuna ihtiyaç"
"s","S-BEABXs-0130-2408","önde kadın var işte şey","çıkartıyor","kaldırıp indiriyor elinde sopayla sözde"
"w","W-CE39C4A-1350-2064","önde bulunan avukat dostumuz, karakoldan","çıkıp","yol boyu yürürken, sanki bir"
"s","S-BEABXO-0454-226","önde benim hoca beni tutup","çıkarmaz","mı bi de örnek öğrenci"
"s","S-ADBBI^-0042-419","önde arkada koruma arabalarıyla yola","çıktık.","Saddam'ın çok sayıdaki sarayından biri"
"w","W-OF25D1B-2767-1299","öncesini yakaladık, hatta üstüne de","çıkıyoruz""","dedi. İstihdamdaki gelişmelerin memnuniyet verici"
"w","W-TE41C1A-0447-2310","öncelikle, ortaya iki farklı kişilik","çıkıyor.","Biri evde mutluymuş gibi yapan"
"s","S-AEABUZ-0022-380","öncelikle kendi durumumdan emm yola","çıkarak","bir senelik sözleşmem vardı TRT'de"
"w","W-HE39E1B-2893-606","önceler. Kitlesel tepki birikiminin açığa","çıkmasının","koşulları ile hareketin belirli bir"
"w","W-XI45E1C-5070-2202","önceki halini taklit ediyorsunuz? Kapıdan","çıkmadan","önce hiç mi aynaya bakmadınız?"
"w","W-PI31D1B-2351-1378","önce, iki takımın taraftarları arasında","çıkan","olaylarda iki kişi yaralandı. Galatasaray"
"w","W-IE39C2A-1340-746","önce, artık iyice su yüzüne","çıkmaya","başlayan bütçe açıklarına ve ona"
"w","W-JA16B2A-1738-1370","önce şu Toto işini aradan","çıkaralım.","1. MAHKÛM İyi ama ben"
"s","S-ADABAo-0433-1007","önce öyle bir sözcük ortaya","çıksaydı,","onu da kabullenirdik. Mesela dj"
