"Tür"	"Künye"	"Sol"	"-5;5"	"Sağ"
"s"	"S-AEABTZ-0040-1224"	"Şimdi, nükleer santral kurarsanız ne"	"olur?"	"Diyelim ki 5 tane nükleer"
"s"	"S-ADABAo-0366-924"	"Şimdi sorunun esas şu Ne"	"oldu"	"Cumhuriyetle? Yani Cumhuriyet'e gelinceye kadar"
"s"	"S-BEABXO-0068-1890"	"şimdi işte evi değiştirene, abone"	"olana"	"<B>. Ee! şimdiki işi daha"
"w"	"W-TH32D1B-2572-221"	"şimdi her zamankinden çok cesur"	"olmaya"	"ve birbirimize dokunmaya ihtiyacımız var."
"s"	"S-ACABTZ-0336-656"	"Şimdi emm sürekli teknolojinin pahalı"	"olduğu"	"risk tabib taşıyacağı ama sonuçta"
"s"	"S-BEABXO-0147-736"	"Şimdi değeri üç bölü dört"	"olan"	"bi kesir söyler misiniz bana?"
"w"	"W-PE39C0A-0249-721"	"Şimdi daha beterini seyretmeye hazır"	"olun"	"Teslimiyetçiyi... İşbirlikçiyi... yağmacıyı... İşgalcinin ayağına"
"s"	"S-ACABUZ-0035-1580"	"Şimdi aklıma geldi. Amerikalıların hediyesi"	"olan"	"Aşiyan. Amerikalılar Aşiyan'ı ona hediye"
"s"	"S-ADABCo-0304-1016"	"şimdi 14 ve 15 yaşında"	"olacaklardı."	"<D 1> Ama 3.5 yıl"
"s"	"S-ADABCo-0291-472"	"şikayetler ve tacize efnasında tanık"	"olması"	"damla oldu. <D 2> Çay"
"s"	"S-ADABAo-0355-1760"	"Şiirle kominist olur, şiirle faşist"	"olur"	"falan, düzyazı kültürü falan yoktur."
"w"	"W-DD02A1B-3567-377"	"şiiri ""Evler"", şairin bu konuya"	"olan"	"ilgisini en iyi gösteren örneklerden"
"s"	"S-BEABXO-0436-1694"	"şi itsin kocanı neyine gelin"	"olunca"	"savma diyo. Hilmi dime yaptığın"
"s"	"S-AEABTZ-0040-376"	"şeylere karşı bi imza kampanyası"	"oldu"	"di mi karşı duran insanların"
"w"	"W-TG43C2A-1807-2152"	"şeyler. Ergenlik çağından itibaren anaya"	"olan"	"ilginin yerini karşı cins almaya"
"s"	"S-BEABXO-0455-488"	"şeyler var senin. Beni unutmuşsunuz."	"Olduğu"	"zaman var ya bu ay"
"s"	"S-BEABXp-0156-419"	"şeyine kalmış o tercihine kalmış"	"olan"	"bi şey, karşılaştırma yapmak istiyosan..."
"s"	"S-ADABLA-0266-1768"	"şeyinden başlıyo, kalfa oluyo çırak"	"oluyo"	"sonra usta oluyo. Usta nedir,"
"s"	"S-ADABIi-0124-755"	"şeyi yıkıldıktan sonra bu devrim"	"olduktan"	"sonra emm bütün sanatçılara alın"
"w"	"W-KG03A4A-2011-663"	"şeyi tek anlamlı ve kesin"	"olarak"	"göz önüne sermekten başka bir"
"w"	"W-JA16B3A-1133-2453"	"Şeyh Mehmed Mühür Efendi, ikibüklüm"	"olup"	"kitaba sımsıkı sarılırken, etraflarındaki her"
"s"	"S-BEABXn-0351-2310"	"şeydi, ışığa giden ne polis"	"olabiliyodu,"	"ne asker. Şimdi tam tersi"
"s"	"S-ADABI^-0162-150"	"şey, kavramı anlayabilmek için evrensel"	"olarak"	"acaba biz kuramı nasıl düşünebiliriz?"
"s"	"S-BEABXO-0136-1646"	"şey şey yapamaz mı? Emekli"	"olmadığı"	"zaman çalışır mı? Çalışıyodu işte"
"s"	"S-ADABPZ-0134-1102"	"şey yok gibi, eee var"	"olanla"	"birlikte sürekli bir şeyler değişiyor,"
"s"	"S-BEABXg-0072-1378"	"şey yazmışlar... Hızlı geldi. Uyuz"	"olmuştum..."	"Ama artık bekliyorum. <D 7>"
"s"	"S-ACABUZ-0035-815"	"şey söylenebilir. Ben ilk defa"	"olarak"	"bu kitapta Tevfik Fikret'i Türk"
"s"	"S-BEABXO-0347-481"	"şey oluyor yani… yani… İğrenç"	"oluyor!"	"Böyle burda tak tak, pırasa"
"s"	"S-ADABI]-0127-2476"	"şey olucak klişe bir şey"	"olucak"	"ama insanlara bir şeyleri insanca"
"s"	"S-ADABIA-0109-2167"	"şey olmadı. Çunkü kendinlen beraber"	"olsaydık"	"ikimiz bir mucarede... mucadele etseydik"
"w"	"W-KA16B2A-0391-149"	"şey hâlâ adım adım yaşanmakta"	"olan"	"değişimin birer basamağı... Zirve noktasını"
"w"	"W-DG37C4A-1364-446"	"şey getirmediği gibi, giderek var"	"olan"	"sorunları daha da karmaşık bir"
"s"	"S-BEABXO-0344-1360"	"şey düşündüm bu yaratık gibi"	"olunca"	"hani buna böyle uzun saç"
"s"	"S-BEABXO-0263-2008"	"Şey değil mi, şu barbie'li"	"olanlar"	"mı? <B> Şey üstünde şeyi"
"s"	"S-ADABAo-0368-1300"	"şey ama içlerinde bir nebze"	"olsun"	"daha değerlisi olanlar vardır. Ve"
"s"	"S-ADABAo-0368-1467"	"şeklinden ne yaptığı, mutlu mu"	"olduğu..."	"Çok belli oluyor değil mi?"
"w"	"W-VD05A1A-2035-2325"	"şeklinde insanın içinde bir korku"	"olabiliyor."	"Bugün mesela bize Şanlıurfa, Diyarbakır,"
"w"	"W-ED02A1A-2707-1322"	"şekilde çözümlendiğine kısaca bakmakta yarar"	"olabilir."	"Osmanlı Kimliği Osmanlı'da, toplumun kesimleri,"
"w"	"W-TE36E1B-3355-1465"	"şekilde yönlendirdiğini takip etmek mümkün"	"olmadığından"	"kurulan Uluslararası Eğitim Danışmanlığı Derneği"
"w"	"W-KB04A3A-1575-1845"	"şekilde ve mikropile yakın konumlanmış"	"olan"	"""embriyo kesesi""dir. kesesi""dir. Ovulum tipleri"
"s"	"S-ADBBI^-0042-1350"	"şekilde seçime girmek isteyen, aday"	"olmak"	"isteyen arkadaşlarımız vardı. Onların önünü"
"s"	"S-BEABXB-0073-303"	"şekilde mi? Olabilir. Ama bez"	"olsa"	"daha iyi olur gibi. Ya"
"s"	"S-ADBBI^-0326-1438"	"şekilde meşgul ediyordu, benim hazır"	"olduğumu"	"görünce çekiliyordu. Bu bana büyük"
"s"	"S-BEABXO-0122-1322"	"şekilde evlendi yani küçük te"	"olup"	"ta 17 yaşında hemen vermedik."
"w"	"W-VI05A1A-2640-1614"	"şekilde adapte etme yeteneğine sahip"	"olması"	"gerekmektedir. 2. Özetleme, not alma"
"w"	"W-ME39E1B-3032-516"	"Şehirlerimize ölüm, aslında bize ait"	"olmayan"	"bir unsur gibi uğruyor ve"
"s"	"S-ADABI]-0126-1119"	"şehir tiyatrosunun daimi elemanlarından biri"	"oldum"	"ben. Emm konservatuara çalışma zamanı"
"s"	"S-ADABAo-0433-485"	"Şehir Ağladı adlı şarkısıyla sizlerle"	"olucak."	"Türkiye'nin en kaliteli intenet <gülerek>"
"w"	"W-JD36C2A-0114-347"	"şaşırtıcı ve sevindirici bir şey"	"oldu."	"Belki on yıldır ilk kez"
"w"	"W-KE39E1B-2839-292"	"şartların çoğu büyükşehir belediyesinin lehine"	"olmasına"	"rağmen davada konu tamamen hipodromun"
"w"	"W-LI37E1B-3056-1647"	"şarkıları içinde en göz yaşartıcı"	"olanı"	"(gerçekten ağladım). Bir çocuk annesine"
"s"	"S-BEABXO-0444-2436"	"Şarj da ötmüyo. Uyanamadım doğal"	"olarak."	"<gülerek> Şarj mı ötmedi? Alarm"
"w"	"W-SI27D1B-2465-934"	"şanslıyım diye düşünüyorum. Onunla arkadaş"	"olmalı,"	"muhabbet etmeliyim. Çok kızın yanında"
"s"	"S-BEABXw-0398-1247"	"şanslıdır kesinlikle dedim, çok şanslı"	"olacak"	"dedim. Eşinin yerinde olmayı dedim,"
"s"	"S-ADABCo-0241-2448"	"şampiyonu tecrübeli pilot Gido Capalli'nin"	"oldu."	"F1 H2O yarışlarının bu sezonki"
"s"	"S-ACABQq-0422-2376"	"şahsiyetlerin de, aslında, bize katkısı"	"olmuştur."	"Türkiye'nin ve Müslümanlığın, Avrupa Birliği"
"w"	"W-CH03A1B-2377-1158"	"şaheser örneklerini taşır; farsea, şiire"	"olan"	"yatkınlığıyla Ömer Hayyam'ın meşhur rubailerini"
"w"	"W-RE09C3A-0028-2011"	"şahadet şerbetini yiğitçe içmeye razı"	"olmuştu!.."	"İsmet Paşa'nın hakkı vardı, çok"
"s"	"S-AEABUZ-0022-2394"	"ışık verin. Çünkü <B> şey"	"olduğu"	"için yapamıyoruz göremiyoruz. Sesi çıkmıyor."
"w"	"W-VC06A1B-4121-610"	"ısıl yol (genişletilmiş Zeldovich mekanizması)"	"olduğunu"	"ispatlar niteliktedir. Isıl yol baskın"
"s"	"S-BEABXB-0077-973"	"ısmarlıyim mi? Evet. Çok iyi"	"olur."	"Bicool. Evet. Neyli? Tabii ki"
"w"	"W-SA16B2A-1490-2261"	"ıslaklık hissettim düşününce bunun gözyaşı"	"olduğunu"	"anladım. Bir süre öylece ayakta"
"s"	"S-ACABTZ-0336-617"	"ırkını meydana getirecek tek hücreliler"	"olabilir."	"Çünkü biz 1700'den bu yana"
"w"	"W-RE39E1B-2903-2061"	"ırkçılık, emperyalist ülkeler de dahil"	"olmak"	"üzere dünyanın her yanında güç"
"w"	"W-CA16B4A-0734-904"	"ırak olan gönülden de ırak"	"olurmuş!"""	"Ezik bakışlarını yardım dilenircesine Nezaket'in"
"s"	"S-BEABXO-0393-121"	"ımış, Aşık Garip'in avradının düğünü"	"oluyormuş,"	"nişanlısının diyor, beni de götür."
"w"	"W-TI27D1B-2455-1491"	"Üçüncü Yüzyıllarda Bizans Dünyasında Değişim"""	"olarak"	"belirlendi. Sempozyum kapsamında iki önemli"
"w"	"W-DC06E1B-3076-633"	"üçlü dengeli moleküler yapısı, manyetik"	"olan"	"değişimleriyle bozulur. Bu da hücrelerde"
"w"	"W-TD09C4A-0211-249"	"üç tane. Hiç orada zayiat"	"oldu"	"mu? Yok, bize sadece doğa"
"s"	"S-BEABXO-0455-881"	"üç kardeştirler aileleri çok kalabalık"	"olan"	"biri değil. Kızı da bana"
"s"	"S-BEABXO-0086-1035"	"üzüldüm dostum ya. Kaza nerde"	"olmuş"	"Tarsus'ta mı? Mersin ya. <D"
"w"	"W-UG03A1B-2540-1710"	"üzerine kurulan bu canlandırma komik"	"olduğu"	"kadar aynı zamanda sinir bozucu"
"w"	"W-GE39C0A-0208-182"	"üzerine Fuat Doğu, bunun nedeni"	"olarak"	"teşkilatın içinde bulunduğu mali sıkıntıyı"
"s"	"S-ADABPZ-0135-173"	"üzerine felsefe yapılan emm alan"	"olarak"	"adlandırılabilirse de bu kabul edilse"
"w"	"W-UE36E1B-3357-2223"	"üzerinden yapılması beklenemez. Çocukların iyi"	"olarak"	"doğdukları, kötülükleri büyüme süreci esnasında"
"s"	"S-ACABTZ-0336-291"	"üzerindeki yaşamın ona ermesine neden"	"olabilir."	"Bu teorimize göre son 150"
"s"	"S-ACABQq-0421-1134"	"üzerinde durulması gerekli bir öneri"	"olduğunu"	"düşünüyorum. Özellikle hemşirelerin lisans eğitimi"
"s"	"S-AEABTZ-0040-936"	"üzerinde ben yoğunlaştım. Ne olursa"	"olsun"	"ben evet, iyi teknolojidir, olsun"
"w"	"W-UE36E1B-3296-1673"	"üzerimize bırakmışlardı. İlerledik. İsmi Schiller"	"olan"	"yere geldik. Ben üstada hürmeten"
"s"	"S-ACABQq-0425-1529"	"üzere, pek sinirli, pek gergin"	"olmaya"	"başladılar. Önceleri haklarını arayan, işçi,"
"s"	"S-AAAAFZ-0383-2457"	"üzere daha fazla zenginleştikçe, ekonomik"	"olarak"	"daha fazla geliştikçe daha fazla"
"w"	"W-TC01A1B-4089-611"	"üzere 730 çocuğun 12'si yedeklerden"	"olmak"	"üzere 670'ine ulaşıldı. Veri toplama"
"w"	"W-GE39E1B-2835-143"	"üyesi ülkeler arasında halen var"	"olan"	"veya gelecekte kurulabilecek bilgi bankaları"
"w"	"W-PE39C4A-0526-2121"	"üyelerinin, parti içi demokrasinin gereği"	"olarak,"	"Parti meselelerini, en geniş hürriyet"
"s"	"S-ACABQq-0423-956"	"üyelerinin sayısını, 1/3'ü 1/3'ü Türk"	"olmak"	"kaydıyla, artırabilecektir. Dışişleri bakanı ve"
"w"	"W-TE30D1B-2111-1415"	"üye ülkenin dillerine çevrilmesi gerekli"	"olsa"	"da, taze üye Bulgaristan'ın AB'nin"
"w"	"W-XI45F1D-4818-835"	"üye ve de başkan yardımcısı"	"olmuş"	"idim Kulübümüzde hem kitap paylaşımı"
"w"	"W-OI37E1B-3058-250"	"üstlenmiş olabilir, ama bir psikoterapist"	"olarak,"	"-ceksiniz, -caksınız diyerek, böylesine tehditkar"
"w"	"W-VE05A2A-2600-2210"	"üstelik bazen din değiştirme zorunluluğu"	"olmayan"	"evlenmelere rastlanabiliyor, Hıristiyan halk, birçok"
"w"	"W-IC06E1B-3083-504"	"üst düzey çalışanlarla iletişim kopukluğunun"	"olması"	"nedeniyle işçiler verimsiz çalışabilirler. İşinin"
"s"	"S-BEABXO-0060-2390"	"Üst bile değil. Gol bile"	"olmamış."	"Hangi maç kanka o? Salzburg"
"w"	"W-QE39E1B-2902-1334"	"üs istediği masalı ile ilgili"	"olarak"	"ortaya koyabileceği ve belge sayılabilecek"
"w"	"W-RE36E1B-3293-366"	"ürünüdür. O halde neyin inanç"	"olduğuna"	"ancak o gruba mensup olanlar"
"s"	"S-ADABI\-0438-1278"	"ürünü yok sanırsam. Peki genel"	"olarak"	"bu raflarda teklifler var ne"
"w"	"W-UI45F1D-4719-1236"	"ürünü olan veya uygun fiyatı"	"olan"	"marka, mutlaka tüketicinin kıyaslayabileceği bir"
"w"	"W-DD02A3A-1781-2160"	"ürünü olabilir. Burjuvazi kendi egemen"	"olduğu"	"düzenin değişmesini gönül rızası ile"
"w"	"W-MF10E1B-2864-179"	"ürünlerin ise traktör ve kamyon"	"olduğu"	"görülüyor. Bu durum, bu ürünlerin"
"w"	"W-UD02A1A-2058-549"	"ürünleri ve uygulamalarının gerisinden geliyor"	"olmasıdır."	"Bu geriden geliş de aslında"
"s"	"S-ADAB^o-0132-806"	"üretildiğinin doğrudan kanıtı olmak açısından"	"oldukça"	"önem taşıyor. Sayın dinleyiciler şimdi"
"s"	"S-AEABTZ-0337-1739"	"ünlü piyanist Padarevski başkan bakan"	"olduğunuza"	"ne acıklı tedirginliği ne de"
"s"	"S-ACAAQq-0424-29"	"ünlem olarak söylediğim acı gerçekler-"	"olarak"	"yapılanlar var. Ancak, bunlar, tabiî,"
"s"	"S-ACAAPZ-0032-554"	"üniversitemizden toplam 17167 öğrenci mezun"	"olmuştur."	"Mezun olan öğrencilerimizin önemli bir"
"s"	"S-ADAB^Z-0370-1809"	"üniversitemi. Verilmeye çalışılıyor evet sportif"	"olarak"	"ve öğrenci arkadaşlarımızın seçimine göre"
"s"	"S-AEABUZ-0038-871"	"üniversite tembelliğe itiliyor. E nasıl"	"olsa"	"benim özerkliğim var kimse bana"
"s"	"S-ADABCo-0365-565"	"üniversite sınavlarına hazırlanmak yüzünden sporla"	"olan"	"bağını kopartıyo ve ülkemiz için"
"w"	"W-OD05A2A-2605-1095"	"üne sahip olması düşmanları sayesinde"	"olmuştur."	"Roma paralarında Hunlar canavar başlı"
"s"	"S-ACABPA-0434-2403"	"ümit edelim baskın bir seçim"	"olmasın,"	"gittiği takdirde, sayın siyasetçilere şu"
"w"	"W-FD36C4A-0341-21"	"ülkesindeki sanayilere rakip değil, destek"	"olarak"	"geliştirir. Bir başka deyişle, çevre"
"w"	"W-PE39C3A-1478-103"	"ülkenin ekonomik bağımsızlığını yitirmesine neden"	"olmaktadır."	"C. ÜLKE DIŞINDA ELDE EDİLEN"
"s"	"S-ACABPA-0434-159"	"ülkenin arayışının maalesef yerine getirilememesi"	"olarak"	"görüyoruz. Belki Siyasal Partiler Kanunu'nda"
"s"	"S-ACAAPZ-0384-1886"	"ülkemize de daha güzelliklere vesile"	"olmasını,"	"burda yetişen öğrencilerin geleceğe yönelik"
"s"	"S-ACABQq-0420-1848"	"ülkemize daha fazla katkı sağlanmış"	"olacaktır."	"Sonuç olarak, bu mallar yüksek"
"w"	"W-NF10A2A-1847-1154"	"ülkelerde üretilen parçaların birbirine uyumlu"	"olmasını"	"da güçleştirmektedir. Üretimin gittikçe küreselleştiği,"
"w"	"W-FD18E1C-4084-360"	"ücretlerin belirlenmesi konusunda temel araç"	"olarak"	"kabul ediyoruz. Ancak kanuni süre"
"w"	"W-UA16B1A-1233-729"	"öğretmenim,"" demiş Murat. ""Parmağında yüzük"	"olan"	"evlidir; ama stilinizi sevdim."" Nasrettin"
"s"	"S-ADABPZ-0134-1947"	"öğretinin acaba Türkiye'ye henüz yansımamış"	"olduğunu"	"mu düşünüyorsunuz yoksa bu bağlamda"
"w"	"W-MD02A1B-4500-945"	"öğretimine dayalı yaşantılardan daha etkili"	"olduğu"	"söylenemez. Bryant, yaptığı çalışmada öntest-sontest"
"w"	"W-RI09C3A-0837-263"	"öğrenmesini istiyorlar. Onlara da yardımcı"	"olabilir"	"misin?"" dediğinde ben, benim için"
"w"	"W-NE39C3A-0613-1596"	"öğrenenlerin de siyaset yapma hakkının"	"olduğunu"	"kabul ederek parti kurucusu olmaları"
"s"	"S-BEABXO-0345-1537"	"Öğrencinin erişimine ve kullanımına açık"	"olması."	"Her öğrencinin... Her? Her öğrencinin"
"w"	"W-KE39E1B-3300-214"	"öğrencileriyle ANAFEN'li öğrenciler. Gözlerinde evsahibi"	"olmanın"	"gururuyla 23 Nisan'da onlar da"
"s"	"S-ACAAPZ-0327-812"	"öğrenciler dilbilim bir akademik disiplin"	"olarak"	"20. Yüzyıl çağdaş bilimler arasında"
"s"	"S-ADABPZ-0357-1168"	"özür dileyerek, felsefe olmadan bilim"	"olmazı"	"biz biliyoruz hepimiz. Emm... ben"
"w"	"W-HD03C2A-0668-1260"	"Özyalçıner'in. Tarihin, toplumsal ve ekonomik"	"olanın"	"bir bileşimidir İstanbul. Her düzeydeki"
"w"	"W-JE39E1B-2838-1379"	"özgürlüğüne sahip çıkarız"" yaklaşımının yanlış"	"olduğunu"	"vurguluyordu. Aradan 10 yıl geçti."
"w"	"W-YI45F1D-4791-2029"	"özgürlüğüm kalmadı"" diye onu (elinde"	"olmadan)"	"suçlamayacak bir anneyi tercih ederdi."
"s"	"S-ADABPZ-0134-1480"	"Özgürlük bu bakımdan bireyler için"	"olduğu"	"kadar toplumlar içinde bir imkan"
"w"	"W-EA16B4A-0489-1281"	"Özgür'den ayrılacaktı, katmerlenmiş acılarla yüklü"	"olarak."	"Bunu istemiyordu. Özgür'e doğru sokuldu."
"w"	"W-EG03A1B-2412-2389"	"Özetle, kurum sistematize ve organize"	"olmuş"	"davranış örüntülerinin bileşimidir. Bu bağlamda,"
"s"	"S-ADABPZ-0134-2219"	"özet yapabilir miyiz desem doğru"	"olacak"	"da emm buna siz yardımcı"
"s"	"S-ADABAo-0433-238"	"özentilik durumu var açıkçası genel"	"olarak."	"Bence, şimdi ben de gerçekten"
"w"	"W-QC05A2A-2047-269"	"özelliğinin ""acele ettirilmiş çocuk"" olmak"	"olduğunu"	"belirten Elkind için, acele etme"
"s"	"S-BEABXO-0345-874"	"özelliklerine uygun ve hayatına tutarlı"	"olması."	"Tamam böyle yazınca da işte"
"w"	"W-SB04A3A-1271-1851"	"özelliklerdir. Ülkemizin iklimini değiştirmek mümkün"	"olmadığına"	"ve bu iklim özellikleri de"
"s"	"S-ACAAQq-0424-207"	"özellikle denizyoluyla getirilen yakıtın ne"	"olduğu"	"da belli olmadığından, standartlara uygun"
"w"	"W-ND30D1B-2175-1813"	"özellikle demokrasiyi bir hayat tarzı"	"olarak"	"kabul etmiş olan yüce milletimizin"
"w"	"W-RD30D1B-2179-2445"	"özelleştirmeye gidilmemektedir"" diyen Kumaş, ""Öyle"	"olmasaydı"	"Türkiye ekonomisinin can damarları olan"
"w"	"W-JH02A0A-0330-2435"	"özel ve ferdi bir mesele"	"olduğunu"	"vurgulayan modern kültürle Hristiyanlık arasında"
"w"	"W-UF10A2A-1866-2496"	"Özel kesimde işgücü verimlilik göstergesi"	"olarak"	"üretim ve katma değer cinsinden"
"w"	"W-MD39E1B-3360-1039"	"özdeğerleri hesaplanır, verileri açıklamakta gerekli"	"olacak"	"faktör sayısı seçilir. A yükler"
"s"	"S-ADABIA-0109-1496"	"öyleydi. Kendi de oyleydi. Zorluk"	"olmam"	"mı çok zorluk oldu. Yokluk"
"s"	"S-BEABXz-0387-634"	"öyle şey Ben yaktıracam... Olur"	"olur."	"Yaktıracam külümü böyle... <B> Kavanoza"
"w"	"W-TI09C3A-1229-1031"	"öyle çok köklü bir etki"	"olmadı"	"üzerimde sanki... Zaten edebiyatından bildiğim"
"s"	"S-BEABXO-0122-1342"	"Öyle yani. şimdi, sonra nişan"	"oldu"	"işte, bi kaç gün daha"
"s"	"S-BEABXt-0414-1319"	"Öyle soğuk falan hiç kış"	"olmadı."	"Şimdiye kadar iyiydi hava.Bundan sonra"
"s"	"S-AEABUs-0037-1357"	"öyle mi oldu, böyle mi"	"oldu?"	"Genel provada 3-5 seyirciyle, sonra"
"s"	"S-BEABXO-0122-1090"	"öyle isteme faslı biraz şey"	"olunca..."	"Sonra, biz gezerken falan bi"
"w"	"W-RA16B3A-1071-424"	"öyle görmek içimi parçalıyordu. Ne"	"olduğunu"	"soracak olursam anlatmaya kalktığında ağlamaya"
"s"	"S-BEABXO-0147-692"	"Öyle değil gibi ama otuz"	"olmuyo"	"mu? Aa! evet evet hocam"
"s"	"S-BEABXw-0391-1133"	"öyle dedi yani. Ya hoca"	"olmasa"	"bi siktir git dicen hoca."
"s"	"S-BEABXE-0082-678"	"Öyle bişey. Bu işler belli"	"olmaz"	"ya. Hıı belli olmaz. Hayat"
"s"	"S-BEABXs-0130-1260"	"öyle bir şey yapmasını istemiş"	"olabilir"	"yönetmen veya sempatik bulmuştur öyle"
"s"	"S-BEABXD-0446-2059"	"Öyle Bir Geçer Zamanki. Ne"	"oldu?"	"Finalde herkesin elinde ben son"
"s"	"S-BEABXO-0389-1785"	"öyle bi ihtimal varsa tabi"	"olur."	"Mahsut çiftede bi taşa açıyorum,"
"w"	"W-VH20C4A-4854-965"	"Öykülerini okuyorum. Oldukça iyi. Yahudi"	"olmasaydı,"	"Avrupa'da doğmasaydı, salt Amerikalı olsaydı,"
"w"	"W-SE39E1B-2904-1406"	"ötesinde önem kazandığı bir kesitte"	"olduğumuzu"	"rahatlıkla saptayabiliriz. Emperyalizmin sola ittirmekten"
"s"	"S-AEABTZ-0040-1745"	"ötekileştiren, uyumsuz olarak tanıtılan tipler"	"olarak"	"gösterilmektedir. Oysa temel politikamız, toplum,"
"s"	"S-BEABXO-0347-293"	"öteki türlü daha da şekilsiz"	"oluyor,"	"düz en azından yani bi"
"w"	"W-ED37C3A-0551-2486"	"Öte yandan, Türkçü olsun, Turancı"	"olsun,"	"Cumhuriyetçi olsun, Anadolucu olsun, İstanbul'dan"
"w"	"W-PE03A1B-4245-2177"	"Örneğin Civek Tepe'de ele geçmiş"	"olan"	"bir çanak parçası hem form"
"w"	"W-CG03A3A-1022-2208"	"örneklerden yararlanan birer fotoğraf yorumcusu"	"olduklarını"	"kanıtlamak imkânını buldum. İstiklâl Caddesi"
"s"	"S-ACAAQq-0419-951"	"örnek alınacak yeni bir tarafı"	"olduğunu"	"söylersek yanılmayız. Onun en büyük"
"w"	"W-JF02A3A-3318-291"	"Örgütü üyesi olmayan bir ülkeden"	"olması"	"halinde 5 milyon Kanada Dolarının"
"w"	"W-RE36E1B-3293-2331"	"önünü kestiğini belirten Ağar siyasetçi"	"olarak"	"sürece geçmişten farklı yorum getiriyor"
"w"	"W-KA16B4A-0100-674"	"önüne alınınca gizlediği başka bilgiler"	"olabileceğini"	"düşündüm. Tehlikeliydi, ama onunla görüşmem"
"w"	"W-TC06A1B-4095-1243"	"önüne alınarak, son derece dikkatli"	"olarak"	"hazırlanmalıdır. Özellikle belgelerin imhası noktasında,"
"w"	"W-UE05A1B-4258-2366"	"önlerine her mezbele ilkâ itmekde"	"olduklarından"	"esvâk ve pazardan mürûr u"
